timestamp,open,high,low,close,volume,hv,iv
2026-01-23 13:23:00,99.49,99.49,99.49,99.49,76,0.0000,0.0000
2026-01-23 13:26:00,99.52,99.52,99.52,99.52,50,0.0677,0.0000
2026-01-23 13:29:00,99.30,99.30,99.30,99.30,3,0.3286,0.0000
