CompanyName,Symbol,Sector,Keyword,Index
Adani Power Limited,ADANIPOWER,NS,"adani enterprises, adani enterprises ltd, Adani Power, adani power, adani power limited, ADANIENT, ADANIPOWER","NIFTY 100, NIFTY 200, NIFTY 500, NIFTY NEXT 50"
Adf Foods Limited,ADFFOODS,NS,"Adf Foods, adf foods, adf foods limited, ADFFOODS",NI
Archidply Decor Limited,ADL,NS,"ADL, archidply decor, Archidply Decor, archidply decor limited",NI
Ador Welding Limited,ADOR,NS,"ADOR, Ador Welding, ador welding, ador welding limited",NI
Adroit Infotech Limited,ADROITINFO,NS,"Adroit Infotech, adroit infotech, adroit infotech limited, ADROITINFO",NI
Allied Digital Serv. Limited,ADSL,NS,"ADSL, Allied Digital, allied digital serv., allied digital serv. limited, Allied Digital Services",NI
Advance Agrolife Limited,ADVANCE,NS,"ADVANCE, Advance Agrolife, advance agrolife, advance agrolife limited",NI
Advani Hot.& Res.(I) Limited,ADVANIHOTR,NS,"advani hot.& res.(i), advani hot.& res.(i) limited, Advani Hotels and Resorts, Advani Hotels and Resorts India, ADVANIHOTR",NI
Advent Hotels International L,ADVENTHTL,NS,"advent hotels internati l, Advent Hotels International, advent hotels international l, ADVENTHTL",NI
Advanced Enzyme Tech Limited,ADVENZYMES,NS,"advanced enzyme tech, advanced enzyme tech limited, Advanced Enzyme Technologies, ADVENZYMES",NI
Aegis Logistics Limited,AEGISLOG,NIFTY OIL & GAS,"aegis logistics, Aegis Logistics, aegis logistics limited, AEGISLOG",NIFTY 500
Aegis Vopak Terminals Limited,AEGISVOPAK,NS,"aegis vopak terminals, Aegis Vopak Terminals Limited, aegis vopak terminals limited, AEGISVOPAK",NIFTY 500
Aeroflex Enterprises Limited,AEROENTER,NS,"AEROENTER, aeroflex enterprises, Aeroflex Enterprises, aeroflex enterprises limited",NI
Aeroflex Industries Limited,AEROFLEX,NS,"AEROFLEX, aeroflex industries, Aeroflex Industries, aeroflex industries limited",NI
Aeroflex Neu Limited,AERONEU,NS,"aeroflex neu, Aeroflex Neu, aeroflex neu limited, AERONEU",NI
Aether Industries Limited,AETHER,NS,"AETHER, aether industries, Aether Industries, aether industries limited",NI
Afcons Infrastructure Limited,AFCONS,NS,"AFCONS, afcons infrastructure, Afcons Infrastructure, afcons infrastructure limited",NIFTY 500
Affle 3I Limited,AFFLE,NIFTY MIDSMALL IT & TELECOM,"AFFLE, Affle, Affle 3i, affle 3i, affle 3i limited",NIFTY 500
Afford Robo & Auto Limited,AFFORDABLE,NS,"afford robo & auto, Afford Robo & Auto, afford robo & auto limited, Afford Robotic & Automation, AFFORDABLE",NI
Akme Fintrade (India) Limited,AFIL,NS,"AFIL, Akme Fintrade, akme fintrade (india), akme fintrade (india) limited",NI
Abans Financial Srvcs Limited,AFSL,NS,"Abans Finance, Abans Financial Services, abans financial srvcs, abans financial srvcs limited, Abans Finserv, AFSL",NI
Agarwal Inds Corp Ltd.,AGARIND,NS,"AGARIND, agarwal inds corp, Agarwal Inds Corp, agarwal inds corp ltd., Agarwal Industrial Corporation",NI
Dr Agarwals Health Care L,AGARWALEYE,NIFTY500 HEALTHCARE,"AGARWALEYE, Dr Agarwals Health Care, dr agarwals health care l",NIFTY 500
Agi Greenpac Limited,AGI,NS,"AGI, agi greenpac, Agi Greenpac, agi greenpac limited",NI
Agi Infra Limited,AGIIL,NS,"agi infra, Agi Infra, agi infra limited, AGIIL",NI
Agri-Tech (India) Limited,AGRITECH,NS,"Agri-Tech, agri-tech (india), agri-tech (india) limited, AGRITECH, AgriTech India",NI
Agro Phos India Limited,AGROPHOS,NS,"Agro Phos, Agro Phos India, agro phos india, agro phos india limited, AGROPHOS",NI
Ahlada Engineers Limited,AHLADA,NS,"AHLADA, ahlada engineers, Ahlada Engineers, ahlada engineers limited",NI
Asian Hotels (East) Limited,AHLEAST,NS,"AHLEAST, asian hotels (east), asian hotels (east) limited, Asian Hotels East",NI
Ahluwalia Cont Ind Limited,AHLUCONT,NS,"AHLUCONT, ahluwalia cont ind, ahluwalia cont ind limited, Ahluwalia Contracts, Ahluwalia Contracts India",NI
Aia Engineering Limited,AIAENG,NS,"aia engineering, Aia Engineering, aia engineering limited, AIAENG",NIFTY 500
Authum Invest & Infra Limited,AIIL,NS,"AIIL, authum invest & infra, Authum Invest & Infra, authum invest & infra limited, Authum Investment, Authum Investment & Infrastructure",NIFTY 500
Airan Limited,AIRAN,NS,"Airan, airan, AIRAN, airan limited",NI
Airo Lam Limited,AIROLAM,NS,"Airo Lam, airo lam, airo lam limited, AIROLAM",NI
Ajanta Pharma Limited,AJANTPHARM,"NIFTY MIDSMALL HEALTHCARE, NIFTY PHARMA, NIFTY500 HEALTHCARE","Ajanta Pharma, ajanta pharma, ajanta pharma limited, AJANTPHARM",NIFTY 500
Ajax Engineering Limited,AJAXENGG,NS,"ajax engineering, Ajax Engineering, ajax engineering limited, AJAXENGG",NI
Ajmera Realty & Inf I Limited,AJMERA,NS,"Ajmera, AJMERA, Ajmera Realty, ajmera realty & inf i, ajmera realty & inf i limited, Ajmera Realty & Infra India",NI
Ajooni Biotech Limited,AJOONI,NS,"AJOONI, Ajooni Biotech, ajooni biotech, ajooni biotech limited",NI
Akash Infra-Projects Limited,AKASH,NS,"AKASH, akash infra-projects, Akash Infra-Projects, akash infra-projects limited, Akash Infracon Projects",NI
Akg Exim Limited,AKG,NS,"AKG, akg exim, Akg Exim, akg exim limited",NI
Aki India Limited,AKI,NS,"AKI, aki india, Aki India, aki india limited",NI
Aksharchem India Limited,AKSHARCHEM,NS,"AKSHARCHEM, Aksharchem, aksharchem india, Aksharchem India, aksharchem india limited",NI
Aksh Optifibre Limited,AKSHOPTFBR,NS,"aksh optifibre, Aksh Optifibre, aksh optifibre limited, AKSHOPTFBR",NI
Akums Drugs & Pharma L,AKUMS,NS,"AKUMS, Akums, Akums Drugs & Pharma, akums drugs & pharma l",NIFTY 500
Akzo Nobel India Limited,AKZOINDIA,NS,"Akzo Nobel, akzo nobel india, Akzo Nobel India, akzo nobel india limited, AKZOINDIA",NIFTY 500
Alankit Limited,ALANKIT,NS,"Alankit, ALANKIT, alankit, alankit limited",NI
Albert David Limited,ALBERTDAVD,NS,"Albert David, albert david, albert david limited, ALBERTDAVD",NI
Alembic Limited,ALEMBICLTD,NS,"Alembic, alembic, alembic limited, ALEMBICLTD",NI
Alicon Castalloy Limited,ALICON,NS,"ALICON, Alicon Castalloy, alicon castalloy, alicon castalloy limited",NI
Alivus Life Sciences Limited,ALIVUS,NS,"ALIVUS, Alivus Life Sciences, alivus life sciences, alivus life sciences limited",NI
Alkali Metals Limited,ALKALI,NS,"ALKALI, alkali metals, Alkali Metals, alkali metals limited",NI
Alkem Laboratories Ltd.,ALKEM,"NIFTY HEALTHCARE INDEX, NIFTY MIDSMALL HEALTHCARE, NIFTY PHARMA, NIFTY500 HEALTHCARE","ALKEM, Alkem Laboratories, alkem laboratories, alkem laboratories ltd.","NIFTY 200, NIFTY 500"
